CountryName,RegionName,Date,PredictedDailyNewCases
Aruba,,2020-08-01,20.4515848266264
Aruba,,2020-08-02,22.442240146954234
Aruba,,2020-08-03,14.003274992386533
Aruba,,2020-08-04,12.222513322200891
Aruba,,2020-08-05,16.46039536501892
Aruba,,2020-08-06,6.122137296342265
Aruba,,2020-08-07,10.018722219869927
Aruba,,2020-08-08,18.220245460350874
Aruba,,2020-08-09,20.787469524310815
Aruba,,2020-08-10,11.931366719407269
Aruba,,2020-08-11,9.32778078941116
Aruba,,2020-08-12,13.379081411849658
Aruba,,2020-08-13,3.4934606768942293
Aruba,,2020-08-14,7.644484987857483
Aruba,,2020-08-15,15.580852350454808
Aruba,,2020-08-16,17.972387255578106
Aruba,,2020-08-17,9.183185356193928
Aruba,,2020-08-18,6.873887334396043
Aruba,,2020-08-19,10.96562375102675
Aruba,,2020-08-20,0.9163482838254531
Aruba,,2020-08-21,5.0501792652852355
Aruba,,2020-08-22,13.070216378980204
Aruba,,2020-08-23,15.575854843603757
Aruba,,2020-08-24,6.8541071513001315
Aruba,,2020-08-25,4.54109159415618
Aruba,,2020-08-26,8.690250266958763
Aruba,,2020-08-27,0.0
Aruba,,2020-08-28,2.929838471486132
Aruba,,2020-08-29,10.957292997784213
Aruba,,2020-08-30,13.497570065817449
Aruba,,2020-08-31,4.865998706673469
Afghanistan,,2020-08-01,248.95815257401222
Afghanistan,,2020-08-02,192.68296045392853
Afghanistan,,2020-08-03,178.74634712829203
Afghanistan,,2020-08-04,203.30220009377666
Afghanistan,,2020-08-05,39.23055452066369
Afghanistan,,2020-08-06,145.45107345055598
Afghanistan,,2020-08-07,221.60811670501354
Afghanistan,,2020-08-08,259.31897192735454
Afghanistan,,2020-08-09,190.0583943060582
Afghanistan,,2020-08-10,180.31108277691882
Afghanistan,,2020-08-11,206.61781490058246
Afghanistan,,2020-08-12,37.79525323920128
Afghanistan,,2020-08-13,135.96132090349977
Afghanistan,,2020-08-14,209.65230209516002
Afghanistan,,2020-08-15,255.02628442951558
Afghanistan,,2020-08-16,190.8082732934306
Afghanistan,,2020-08-17,180.81250736378095
Afghanistan,,2020-08-18,204.99432648792578
Afghanistan,,2020-08-19,35.019324852067996
Afghanistan,,2020-08-20,135.12015501323094
Afghanistan,,2020-08-21,209.3001531383476
Afghanistan,,2020-08-22,253.14344976471818
Afghanistan,,2020-08-23,187.50261650761473
Afghanistan,,2020-08-24,178.50182812809757
Afghanistan,,2020-08-25,204.654637695819
Afghanistan,,2020-08-26,36.76035992278512
Afghanistan,,2020-08-27,135.12589213599148
Afghanistan,,2020-08-28,209.1733192014765
Afghanistan,,2020-08-29,255.14923596128762
Afghanistan,,2020-08-30,189.98523236775463
Afghanistan,,2020-08-31,180.70391220066293
Angola,,2020-08-01,74.19987738955582
Angola,,2020-08-02,37.013361486937335
Angola,,2020-08-03,76.40400644088409
Angola,,2020-08-04,81.88381897727113
Angola,,2020-08-05,68.18630173012893
Angola,,2020-08-06,18.862555235676368
Angola,,2020-08-07,37.975419479537635
Angola,,2020-08-08,68.86576057148461
Angola,,2020-08-09,32.67693552986308
Angola,,2020-08-10,71.92013391124937
Angola,,2020-08-11,76.56150704794024
Angola,,2020-08-12,64.02169746300517
Angola,,2020-08-13,16.05398415269189
Angola,,2020-08-14,36.62453264299372
Angola,,2020-08-15,67.05336474447913
Angola,,2020-08-16,30.425673999513336
Angola,,2020-08-17,69.90437274481184
Angola,,2020-08-18,74.76069872840803
Angola,,2020-08-19,62.433670407787055
Angola,,2020-08-20,14.451473028480594
Angola,,2020-08-21,35.11511622486642
Angola,,2020-08-22,65.63799499389764
Angola,,2020-08-23,29.485232460703113
Angola,,2020-08-24,69.50653704158893
Angola,,2020-08-25,74.31921785195094
Angola,,2020-08-26,61.97307240480367
Angola,,2020-08-27,14.086446090307414
Angola,,2020-08-28,34.881513081364574
Angola,,2020-08-29,65.04445838580101
Angola,,2020-08-30,28.838805763539714
